"","Model_Type","AUC_Cross_Validated"
"1","RSA_WCN_Mean_Score",0.859907120743034
"2","RSA_WCN_Mean_Score",0.869195046439629
"3","RSA_WCN_Mean_Score",0.867647058823529
"4","RSA_WCN_Mean_Score",0.869195046439629
"5","RSA_WCN_Mean_Score",0.886996904024768
"6","RSA_WCN_Mean_Score",0.876160990712074
"7","RSA_WCN_Mean_Score",0.890866873065015
"8","RSA_WCN_Mean_Score",0.872291021671827
"9","RSA_WCN_Mean_Score",0.86687306501548
"10","RSA_WCN_Mean_Score",0.86609907120743
"11","RSA_WCN_Mean_Score",0.876160990712074
"12","RSA_WCN_Mean_Score",0.854489164086687
"13","RSA_WCN_Mean_Score",0.88312693498452
"14","RSA_WCN_Mean_Score",0.864551083591331
"15","RSA_WCN_Mean_Score",0.873065015479876
"16","RSA_WCN_Mean_Score",0.865325077399381
"17","RSA_WCN_Mean_Score",0.865325077399381
"18","RSA_WCN_Mean_Score",0.878482972136223
"19","RSA_WCN_Mean_Score",0.869195046439629
"20","RSA_WCN_Mean_Score",0.863003095975232
"21","RSA_WCN_Mean_Score",0.868421052631579
"22","RSA_WCN_Mean_Score",0.894736842105263
"23","RSA_WCN_Mean_Score",0.864551083591331
"24","RSA_WCN_Mean_Score",0.869195046439629
"25","RSA_WCN_Mean_Score",0.890092879256966
"26","RSA_WCN_Mean_Score",0.877708978328173
"27","RSA_WCN_Mean_Score",0.891640866873065
"28","RSA_WCN_Mean_Score",0.884674922600619
"29","RSA_WCN_Mean_Score",0.877708978328173
"30","RSA_WCN_Mean_Score",0.869969040247678
"31","RSA_WCN_Mean_Score",0.858359133126935
"32","RSA_WCN_Mean_Score",0.884674922600619
"33","RSA_WCN_Mean_Score",0.882352941176471
"34","RSA_WCN_Mean_Score",0.874613003095975
"35","RSA_WCN_Mean_Score",0.873839009287926
"36","RSA_WCN_Mean_Score",0.871517027863777
"37","RSA_WCN_Mean_Score",0.846749226006192
"38","RSA_WCN_Mean_Score",0.893962848297214
"39","RSA_WCN_Mean_Score",0.857585139318885
"40","RSA_WCN_Mean_Score",0.888544891640867
"41","RSA_WCN_Mean_Score",0.869969040247678
"42","RSA_WCN_Mean_Score",0.864551083591331
"43","RSA_WCN_Mean_Score",0.845975232198142
"44","RSA_WCN_Mean_Score",0.880030959752322
"45","RSA_WCN_Mean_Score",0.848297213622291
"46","RSA_WCN_Mean_Score",0.862229102167183
"47","RSA_WCN_Mean_Score",0.894736842105263
"48","RSA_WCN_Mean_Score",0.873839009287926
"49","RSA_WCN_Mean_Score",0.880804953560371
"50","RSA_WCN_Mean_Score",0.881578947368421
"51","RSA_WCN_Mean_Score",0.872291021671827
"52","RSA_WCN_Mean_Score",0.865325077399381
"53","RSA_WCN_Mean_Score",0.867647058823529
"54","RSA_WCN_Mean_Score",0.874613003095975
"55","RSA_WCN_Mean_Score",0.886996904024768
"56","RSA_WCN_Mean_Score",0.875386996904025
"57","RSA_WCN_Mean_Score",0.869195046439629
"58","RSA_WCN_Mean_Score",0.863003095975232
"59","RSA_WCN_Mean_Score",0.869195046439629
"60","RSA_WCN_Mean_Score",0.857585139318885
"61","RSA_WCN_Mean_Score",0.873065015479876
"62","RSA_WCN_Mean_Score",0.861455108359133
"63","RSA_WCN_Mean_Score",0.880030959752322
"64","RSA_WCN_Mean_Score",0.86609907120743
"65","RSA_WCN_Mean_Score",0.876160990712074
"66","RSA_WCN_Mean_Score",0.875386996904025
"67","RSA_WCN_Mean_Score",0.876934984520124
"68","RSA_WCN_Mean_Score",0.878482972136223
"69","RSA_WCN_Mean_Score",0.875386996904025
"70","RSA_WCN_Mean_Score",0.884674922600619
