"","Model_Type","Mean_AUC_Cross_Validated","se_AUC_Cross_Validated"
"1","RSA_WCN_Mean_Score",0.874256965944272,0.0010837264646192
"2","RSA_WCN_SS_Mean_Score",0.869001547987616,0.00103686898673226
"3","RSA_WCN_SS",0.864636222910217,0.00137745925902196
"4","WCN_SS_Mean_Score",0.859674922600619,0.000844040840041044
"5","WCN_Mean_Score",0.854465944272446,0.000880735370924375
"6","RSA_WCN",0.842252321981424,0.00164985576894272
"7","RSA_SS_Mean_Score",0.793382352941176,0.0016309571697286
"8","WCN_SS",0.785982972136223,0.00159843279450442
"9","RSA_Mean_Score",0.782236842105263,0.00191362875091997
"10","Mean_Score",0.762569659442724,0.0012573562504576
"11","WCN",0.757113003095975,0.00153391731456466
"12","SS_Mean_Score",0.755363777089783,0.00218448808238952
"13","RSA_SS",0.745278637770898,0.00217880885156104
"14","SS",0.696331269349845,0.00189465173511119
"15","RSA",0.636416408668731,0.00244994015580684
