"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"RSA_SS_Mean_Score",0.83921568627451,"RSA_SS_Mean_Score"
"2",2,"RSA_SS_Mean_Score",0.826470588235294,"RSA_SS_Mean_Score"
"3",3,"RSA_SS_Mean_Score",0.85673624288425,"RSA_SS_Mean_Score"
"4",4,"RSA_SS_Mean_Score",0.893738140417457,"RSA_SS_Mean_Score"
"5",5,"RSA_SS_Mean_Score",0.857685009487666,"RSA_SS_Mean_Score"
"6",6,"RSA_SS_Mean_Score",0.872811059907834,"RSA_SS_Mean_Score"
"7",7,"RSA_SS_Mean_Score",0.851992409867173,"RSA_SS_Mean_Score"
"8",8,"RSA_SS_Mean_Score",0.850980392156863,"RSA_SS_Mean_Score"
"9",9,"RSA_SS_Mean_Score",0.826666666666667,"RSA_SS_Mean_Score"
"10",10,"RSA_SS_Mean_Score",0.833017077798861,"RSA_SS_Mean_Score"
