"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"RSA_WCN",0.863377609108159,"RSA_WCN"
"2",2,"RSA_WCN",0.870588235294118,"RSA_WCN"
"3",3,"RSA_WCN",0.878557874762808,"RSA_WCN"
"4",4,"RSA_WCN",0.896774193548387,"RSA_WCN"
"5",5,"RSA_WCN",0.873529411764706,"RSA_WCN"
"6",6,"RSA_WCN",0.912380952380952,"RSA_WCN"
"7",7,"RSA_WCN",0.870967741935484,"RSA_WCN"
"8",8,"RSA_WCN",0.881404174573055,"RSA_WCN"
"9",9,"RSA_WCN",0.878557874762808,"RSA_WCN"
"10",10,"RSA_WCN",0.872549019607843,"RSA_WCN"
