"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"WCN_Mean_Score",0.888235294117647,"WCN_Mean_Score"
"2",2,"WCN_Mean_Score",0.867172675521822,"WCN_Mean_Score"
"3",3,"WCN_Mean_Score",0.859803921568628,"WCN_Mean_Score"
"4",4,"WCN_Mean_Score",0.853889943074004,"WCN_Mean_Score"
"5",5,"WCN_Mean_Score",0.888571428571429,"WCN_Mean_Score"
"6",6,"WCN_Mean_Score",0.859582542694497,"WCN_Mean_Score"
"7",7,"WCN_Mean_Score",0.893087557603687,"WCN_Mean_Score"
"8",8,"WCN_Mean_Score",0.867172675521822,"WCN_Mean_Score"
"9",9,"WCN_Mean_Score",0.888235294117647,"WCN_Mean_Score"
"10",10,"WCN_Mean_Score",0.867172675521822,"WCN_Mean_Score"
