"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"RSA_WCN_SS",0.9146110056926,"RSA_WCN_SS"
"2",2,"RSA_WCN_SS",0.944971537001898,"RSA_WCN_SS"
"3",3,"RSA_WCN_SS",0.911764705882353,"RSA_WCN_SS"
"4",4,"RSA_WCN_SS",0.935294117647059,"RSA_WCN_SS"
"5",5,"RSA_WCN_SS",0.910815939278937,"RSA_WCN_SS"
"6",6,"RSA_WCN_SS",0.922201138519924,"RSA_WCN_SS"
"7",7,"RSA_WCN_SS",0.945098039215686,"RSA_WCN_SS"
"8",8,"RSA_WCN_SS",0.906912442396313,"RSA_WCN_SS"
"9",9,"RSA_WCN_SS",0.913333333333333,"RSA_WCN_SS"
"10",10,"RSA_WCN_SS",0.922549019607843,"RSA_WCN_SS"
