"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"WCN_SS_Mean_Score",0.907843137254902,"WCN_SS_Mean_Score"
"2",2,"WCN_SS_Mean_Score",0.892789373814042,"WCN_SS_Mean_Score"
"3",3,"WCN_SS_Mean_Score",0.916666666666667,"WCN_SS_Mean_Score"
"4",4,"WCN_SS_Mean_Score",0.871889400921659,"WCN_SS_Mean_Score"
"5",5,"WCN_SS_Mean_Score",0.864326375711575,"WCN_SS_Mean_Score"
"6",6,"WCN_SS_Mean_Score",0.869607843137255,"WCN_SS_Mean_Score"
"7",7,"WCN_SS_Mean_Score",0.863809523809524,"WCN_SS_Mean_Score"
"8",8,"WCN_SS_Mean_Score",0.864326375711575,"WCN_SS_Mean_Score"
"9",9,"WCN_SS_Mean_Score",0.870967741935484,"WCN_SS_Mean_Score"
"10",10,"WCN_SS_Mean_Score",0.880455407969639,"WCN_SS_Mean_Score"
