"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"RSA_SS_Mean_Score",0.834914611005693,"RSA_SS_Mean_Score"
"2",2,"RSA_SS_Mean_Score",0.861764705882353,"RSA_SS_Mean_Score"
"3",3,"RSA_SS_Mean_Score",0.82843137254902,"RSA_SS_Mean_Score"
"4",4,"RSA_SS_Mean_Score",0.829222011385199,"RSA_SS_Mean_Score"
"5",5,"RSA_SS_Mean_Score",0.845351043643264,"RSA_SS_Mean_Score"
"6",6,"RSA_SS_Mean_Score",0.852941176470588,"RSA_SS_Mean_Score"
"7",7,"RSA_SS_Mean_Score",0.876497695852535,"RSA_SS_Mean_Score"
"8",8,"RSA_SS_Mean_Score",0.872549019607843,"RSA_SS_Mean_Score"
"9",9,"RSA_SS_Mean_Score",0.871916508538899,"RSA_SS_Mean_Score"
"10",10,"RSA_SS_Mean_Score",0.845714285714286,"RSA_SS_Mean_Score"
