"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"SS_Mean_Score",0.830170777988615,"SS_Mean_Score"
"2",2,"SS_Mean_Score",0.85673624288425,"SS_Mean_Score"
"3",3,"SS_Mean_Score",0.836812144212524,"SS_Mean_Score"
"4",4,"SS_Mean_Score",0.836812144212524,"SS_Mean_Score"
"5",5,"SS_Mean_Score",0.85673624288425,"SS_Mean_Score"
"6",6,"SS_Mean_Score",0.812745098039216,"SS_Mean_Score"
"7",7,"SS_Mean_Score",0.83921568627451,"SS_Mean_Score"
"8",8,"SS_Mean_Score",0.883301707779886,"SS_Mean_Score"
"9",9,"SS_Mean_Score",0.826666666666667,"SS_Mean_Score"
"10",10,"SS_Mean_Score",0.85047619047619,"SS_Mean_Score"
