"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"RSA_WCN_Mean_Score",0.918627450980392,"RSA_WCN_Mean_Score"
"2",2,"RSA_WCN_Mean_Score",0.954901960784314,"RSA_WCN_Mean_Score"
"3",3,"RSA_WCN_Mean_Score",0.933586337760911,"RSA_WCN_Mean_Score"
"4",4,"RSA_WCN_Mean_Score",0.917457305502846,"RSA_WCN_Mean_Score"
"5",5,"RSA_WCN_Mean_Score",0.937381404174573,"RSA_WCN_Mean_Score"
"6",6,"RSA_WCN_Mean_Score",0.918627450980392,"RSA_WCN_Mean_Score"
"7",7,"RSA_WCN_Mean_Score",0.922201138519924,"RSA_WCN_Mean_Score"
"8",8,"RSA_WCN_Mean_Score",0.920588235294118,"RSA_WCN_Mean_Score"
"9",9,"RSA_WCN_Mean_Score",0.92258064516129,"RSA_WCN_Mean_Score"
"10",10,"RSA_WCN_Mean_Score",0.934562211981567,"RSA_WCN_Mean_Score"
