"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"RSA_WCN_Mean_Score",0.922857142857143,"RSA_WCN_Mean_Score"
"2",2,"RSA_WCN_Mean_Score",0.927450980392157,"RSA_WCN_Mean_Score"
"3",3,"RSA_WCN_Mean_Score",0.917647058823529,"RSA_WCN_Mean_Score"
"4",4,"RSA_WCN_Mean_Score",0.938330170777989,"RSA_WCN_Mean_Score"
"5",5,"RSA_WCN_Mean_Score",0.925047438330171,"RSA_WCN_Mean_Score"
"6",6,"RSA_WCN_Mean_Score",0.916508538899431,"RSA_WCN_Mean_Score"
"7",7,"RSA_WCN_Mean_Score",0.92314990512334,"RSA_WCN_Mean_Score"
"8",8,"RSA_WCN_Mean_Score",0.926666666666667,"RSA_WCN_Mean_Score"
"9",9,"RSA_WCN_Mean_Score",0.947817836812144,"RSA_WCN_Mean_Score"
"10",10,"RSA_WCN_Mean_Score",0.933586337760911,"RSA_WCN_Mean_Score"
