"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"WCN_Mean_Score",0.864516129032258,"WCN_Mean_Score"
"2",2,"WCN_Mean_Score",0.862672811059908,"WCN_Mean_Score"
"3",3,"WCN_Mean_Score",0.870018975332068,"WCN_Mean_Score"
"4",4,"WCN_Mean_Score",0.864705882352941,"WCN_Mean_Score"
"5",5,"WCN_Mean_Score",0.853921568627451,"WCN_Mean_Score"
"6",6,"WCN_Mean_Score",0.873814041745731,"WCN_Mean_Score"
"7",7,"WCN_Mean_Score",0.87156862745098,"WCN_Mean_Score"
"8",8,"WCN_Mean_Score",0.888994307400379,"WCN_Mean_Score"
"9",9,"WCN_Mean_Score",0.879411764705882,"WCN_Mean_Score"
"10",10,"WCN_Mean_Score",0.90607210626186,"WCN_Mean_Score"
