"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"Mean_Score",0.8036866359447,"Mean_Score"
"2",2,"Mean_Score",0.844239631336406,"Mean_Score"
"3",3,"Mean_Score",0.830392156862745,"Mean_Score"
"4",4,"Mean_Score",0.811764705882353,"Mean_Score"
"5",5,"Mean_Score",0.793168880455408,"Mean_Score"
"6",6,"Mean_Score",0.792156862745098,"Mean_Score"
"7",7,"Mean_Score",0.802941176470588,"Mean_Score"
"8",8,"Mean_Score",0.845351043643264,"Mean_Score"
"9",9,"Mean_Score",0.820683111954459,"Mean_Score"
"10",10,"Mean_Score",0.790322580645161,"Mean_Score"
