"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"RSA_SS_Mean_Score",0.883333333333333,"RSA_SS_Mean_Score"
"2",2,"RSA_SS_Mean_Score",0.843453510436433,"RSA_SS_Mean_Score"
"3",3,"RSA_SS_Mean_Score",0.847248576850095,"RSA_SS_Mean_Score"
"4",4,"RSA_SS_Mean_Score",0.856190476190476,"RSA_SS_Mean_Score"
"5",5,"RSA_SS_Mean_Score",0.829411764705882,"RSA_SS_Mean_Score"
"6",6,"RSA_SS_Mean_Score",0.840196078431373,"RSA_SS_Mean_Score"
"7",7,"RSA_SS_Mean_Score",0.838709677419355,"RSA_SS_Mean_Score"
"8",8,"RSA_SS_Mean_Score",0.849146110056926,"RSA_SS_Mean_Score"
"9",9,"RSA_SS_Mean_Score",0.851992409867173,"RSA_SS_Mean_Score"
"10",10,"RSA_SS_Mean_Score",0.871916508538899,"RSA_SS_Mean_Score"
