"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"Mean_Score",0.823529411764706,"Mean_Score"
"2",2,"Mean_Score",0.799019607843137,"Mean_Score"
"3",3,"Mean_Score",0.834313725490196,"Mean_Score"
"4",4,"Mean_Score",0.822549019607843,"Mean_Score"
"5",5,"Mean_Score",0.819734345351044,"Mean_Score"
"6",6,"Mean_Score",0.845351043643264,"Mean_Score"
"7",7,"Mean_Score",0.79815668202765,"Mean_Score"
"8",8,"Mean_Score",0.794117647058823,"Mean_Score"
"9",9,"Mean_Score",0.810246679316888,"Mean_Score"
"10",10,"Mean_Score",0.784761904761905,"Mean_Score"
