"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"RSA_Mean_Score",0.806666666666667,"RSA_Mean_Score"
"2",2,"RSA_Mean_Score",0.859047619047619,"RSA_Mean_Score"
"3",3,"RSA_Mean_Score",0.861480075901328,"RSA_Mean_Score"
"4",4,"RSA_Mean_Score",0.837760910815939,"RSA_Mean_Score"
"5",5,"RSA_Mean_Score",0.843137254901961,"RSA_Mean_Score"
"6",6,"RSA_Mean_Score",0.824509803921569,"RSA_Mean_Score"
"7",7,"RSA_Mean_Score",0.815939278937381,"RSA_Mean_Score"
"8",8,"RSA_Mean_Score",0.830170777988615,"RSA_Mean_Score"
"9",9,"RSA_Mean_Score",0.843453510436433,"RSA_Mean_Score"
"10",10,"RSA_Mean_Score",0.817836812144212,"RSA_Mean_Score"
