"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"RSA_WCN_Mean_Score",0.932637571157495,"RSA_WCN_Mean_Score"
"2",2,"RSA_WCN_Mean_Score",0.949308755760369,"RSA_WCN_Mean_Score"
"3",3,"RSA_WCN_Mean_Score",0.923529411764706,"RSA_WCN_Mean_Score"
"4",4,"RSA_WCN_Mean_Score",0.927188940092166,"RSA_WCN_Mean_Score"
"5",5,"RSA_WCN_Mean_Score",0.946078431372549,"RSA_WCN_Mean_Score"
"6",6,"RSA_WCN_Mean_Score",0.915559772296015,"RSA_WCN_Mean_Score"
"7",7,"RSA_WCN_Mean_Score",0.919354838709677,"RSA_WCN_Mean_Score"
"8",8,"RSA_WCN_Mean_Score",0.916666666666667,"RSA_WCN_Mean_Score"
"9",9,"RSA_WCN_Mean_Score",0.925996204933586,"RSA_WCN_Mean_Score"
"10",10,"RSA_WCN_Mean_Score",0.930392156862745,"RSA_WCN_Mean_Score"
