"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"RSA_WCN_SS",0.934313725490196,"RSA_WCN_SS"
"2",2,"RSA_WCN_SS",0.909867172675522,"RSA_WCN_SS"
"3",3,"RSA_WCN_SS",0.934535104364326,"RSA_WCN_SS"
"4",4,"RSA_WCN_SS",0.936274509803922,"RSA_WCN_SS"
"5",5,"RSA_WCN_SS",0.9146110056926,"RSA_WCN_SS"
"6",6,"RSA_WCN_SS",0.926666666666667,"RSA_WCN_SS"
"7",7,"RSA_WCN_SS",0.928571428571429,"RSA_WCN_SS"
"8",8,"RSA_WCN_SS",0.920303605313093,"RSA_WCN_SS"
"9",9,"RSA_WCN_SS",0.920303605313093,"RSA_WCN_SS"
"10",10,"RSA_WCN_SS",0.909867172675522,"RSA_WCN_SS"
