"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"RSA_SS_Mean_Score",0.830170777988615,"RSA_SS_Mean_Score"
"2",2,"RSA_SS_Mean_Score",0.873529411764706,"RSA_SS_Mean_Score"
"3",3,"RSA_SS_Mean_Score",0.874762808349146,"RSA_SS_Mean_Score"
"4",4,"RSA_SS_Mean_Score",0.854285714285714,"RSA_SS_Mean_Score"
"5",5,"RSA_SS_Mean_Score",0.840607210626186,"RSA_SS_Mean_Score"
"6",6,"RSA_SS_Mean_Score",0.843453510436433,"RSA_SS_Mean_Score"
"7",7,"RSA_SS_Mean_Score",0.854901960784314,"RSA_SS_Mean_Score"
"8",8,"RSA_SS_Mean_Score",0.851992409867173,"RSA_SS_Mean_Score"
"9",9,"RSA_SS_Mean_Score",0.846299810246679,"RSA_SS_Mean_Score"
"10",10,"RSA_SS_Mean_Score",0.84,"RSA_SS_Mean_Score"
