"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"SS_Mean_Score",0.844402277039848,"SS_Mean_Score"
"2",2,"SS_Mean_Score",0.849146110056926,"SS_Mean_Score"
"3",3,"SS_Mean_Score",0.83111954459203,"SS_Mean_Score"
"4",4,"SS_Mean_Score",0.857142857142857,"SS_Mean_Score"
"5",5,"SS_Mean_Score",0.830392156862745,"SS_Mean_Score"
"6",6,"SS_Mean_Score",0.851992409867173,"SS_Mean_Score"
"7",7,"SS_Mean_Score",0.857685009487666,"SS_Mean_Score"
"8",8,"SS_Mean_Score",0.83963133640553,"SS_Mean_Score"
"9",9,"SS_Mean_Score",0.832352941176471,"SS_Mean_Score"
"10",10,"SS_Mean_Score",0.82156862745098,"SS_Mean_Score"
