"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"Mean_Score",0.793168880455408,"Mean_Score"
"2",2,"Mean_Score",0.808823529411765,"Mean_Score"
"3",3,"Mean_Score",0.805529953917051,"Mean_Score"
"4",4,"Mean_Score",0.852941176470588,"Mean_Score"
"5",5,"Mean_Score",0.844402277039848,"Mean_Score"
"6",6,"Mean_Score",0.829493087557604,"Mean_Score"
"7",7,"Mean_Score",0.795098039215686,"Mean_Score"
"8",8,"Mean_Score",0.810246679316888,"Mean_Score"
"9",9,"Mean_Score",0.800980392156863,"Mean_Score"
"10",10,"Mean_Score",0.797058823529412,"Mean_Score"
