"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"Mean_Score",0.804608294930876,"Mean_Score"
"2",2,"Mean_Score",0.850094876660342,"Mean_Score"
"3",3,"Mean_Score",0.803921568627451,"Mean_Score"
"4",4,"Mean_Score",0.817836812144212,"Mean_Score"
"5",5,"Mean_Score",0.845098039215686,"Mean_Score"
"6",6,"Mean_Score",0.812745098039216,"Mean_Score"
"7",7,"Mean_Score",0.794117647058824,"Mean_Score"
"8",8,"Mean_Score",0.791271347248577,"Mean_Score"
"9",9,"Mean_Score",0.809297912713472,"Mean_Score"
"10",10,"Mean_Score",0.806451612903226,"Mean_Score"
