"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"WCN_SS_Mean_Score",0.930392156862745,"WCN_SS_Mean_Score"
"2",2,"WCN_SS_Mean_Score",0.868121442125237,"WCN_SS_Mean_Score"
"3",3,"WCN_SS_Mean_Score",0.862428842504744,"WCN_SS_Mean_Score"
"4",4,"WCN_SS_Mean_Score",0.868627450980392,"WCN_SS_Mean_Score"
"5",5,"WCN_SS_Mean_Score",0.862857142857143,"WCN_SS_Mean_Score"
"6",6,"WCN_SS_Mean_Score",0.882352941176471,"WCN_SS_Mean_Score"
"7",7,"WCN_SS_Mean_Score",0.890891840607211,"WCN_SS_Mean_Score"
"8",8,"WCN_SS_Mean_Score",0.900980392156863,"WCN_SS_Mean_Score"
"9",9,"WCN_SS_Mean_Score",0.877609108159393,"WCN_SS_Mean_Score"
"10",10,"WCN_SS_Mean_Score",0.87926267281106,"WCN_SS_Mean_Score"
