"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"RSA_SS_Mean_Score",0.859582542694497,"RSA_SS_Mean_Score"
"2",2,"RSA_SS_Mean_Score",0.829411764705882,"RSA_SS_Mean_Score"
"3",3,"RSA_SS_Mean_Score",0.843137254901961,"RSA_SS_Mean_Score"
"4",4,"RSA_SS_Mean_Score",0.831372549019608,"RSA_SS_Mean_Score"
"5",5,"RSA_SS_Mean_Score",0.854838709677419,"RSA_SS_Mean_Score"
"6",6,"RSA_SS_Mean_Score",0.890891840607211,"RSA_SS_Mean_Score"
"7",7,"RSA_SS_Mean_Score",0.849769585253456,"RSA_SS_Mean_Score"
"8",8,"RSA_SS_Mean_Score",0.845351043643264,"RSA_SS_Mean_Score"
"9",9,"RSA_SS_Mean_Score",0.854285714285714,"RSA_SS_Mean_Score"
"10",10,"RSA_SS_Mean_Score",0.872865275142315,"RSA_SS_Mean_Score"
