"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"RSA_WCN_Mean_Score",0.926944971537002,"RSA_WCN_Mean_Score"
"2",2,"RSA_WCN_Mean_Score",0.922549019607843,"RSA_WCN_Mean_Score"
"3",3,"RSA_WCN_Mean_Score",0.91705069124424,"RSA_WCN_Mean_Score"
"4",4,"RSA_WCN_Mean_Score",0.923809523809524,"RSA_WCN_Mean_Score"
"5",5,"RSA_WCN_Mean_Score",0.916508538899431,"RSA_WCN_Mean_Score"
"6",6,"RSA_WCN_Mean_Score",0.934313725490196,"RSA_WCN_Mean_Score"
"7",7,"RSA_WCN_Mean_Score",0.928842504743833,"RSA_WCN_Mean_Score"
"8",8,"RSA_WCN_Mean_Score",0.918406072106262,"RSA_WCN_Mean_Score"
"9",9,"RSA_WCN_Mean_Score",0.974509803921569,"RSA_WCN_Mean_Score"
"10",10,"RSA_WCN_Mean_Score",0.924098671726755,"RSA_WCN_Mean_Score"
