"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"RSA_Mean_Score",0.813725490196078,"RSA_Mean_Score"
"2",2,"RSA_Mean_Score",0.811195445920304,"RSA_Mean_Score"
"3",3,"RSA_Mean_Score",0.832352941176471,"RSA_Mean_Score"
"4",4,"RSA_Mean_Score",0.866666666666667,"RSA_Mean_Score"
"5",5,"RSA_Mean_Score",0.830414746543779,"RSA_Mean_Score"
"6",6,"RSA_Mean_Score",0.823041474654378,"RSA_Mean_Score"
"7",7,"RSA_Mean_Score",0.853921568627451,"RSA_Mean_Score"
"8",8,"RSA_Mean_Score",0.814990512333966,"RSA_Mean_Score"
"9",9,"RSA_Mean_Score",0.843453510436433,"RSA_Mean_Score"
"10",10,"RSA_Mean_Score",0.837760910815939,"RSA_Mean_Score"
