"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"SS_Mean_Score",0.870588235294118,"SS_Mean_Score"
"2",2,"SS_Mean_Score",0.850094876660342,"SS_Mean_Score"
"3",3,"SS_Mean_Score",0.851960784313725,"SS_Mean_Score"
"4",4,"SS_Mean_Score",0.836866359447005,"SS_Mean_Score"
"5",5,"SS_Mean_Score",0.841176470588235,"SS_Mean_Score"
"6",6,"SS_Mean_Score",0.832068311195446,"SS_Mean_Score"
"7",7,"SS_Mean_Score",0.843453510436433,"SS_Mean_Score"
"8",8,"SS_Mean_Score",0.819734345351044,"SS_Mean_Score"
"9",9,"SS_Mean_Score",0.837142857142857,"SS_Mean_Score"
"10",10,"SS_Mean_Score",0.859582542694497,"SS_Mean_Score"
