"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"Mean_Score",0.810246679316888,"Mean_Score"
"2",2,"Mean_Score",0.827450980392157,"Mean_Score"
"3",3,"Mean_Score",0.820588235294118,"Mean_Score"
"4",4,"Mean_Score",0.836812144212524,"Mean_Score"
"5",5,"Mean_Score",0.808349146110057,"Mean_Score"
"6",6,"Mean_Score",0.792380952380952,"Mean_Score"
"7",7,"Mean_Score",0.791271347248577,"Mean_Score"
"8",8,"Mean_Score",0.812144212523719,"Mean_Score"
"9",9,"Mean_Score",0.816666666666667,"Mean_Score"
"10",10,"Mean_Score",0.816589861751152,"Mean_Score"
