"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"WCN_SS_Mean_Score",0.907020872865275,"WCN_SS_Mean_Score"
"2",2,"WCN_SS_Mean_Score",0.862428842504744,"WCN_SS_Mean_Score"
"3",3,"WCN_SS_Mean_Score",0.875711574952562,"WCN_SS_Mean_Score"
"4",4,"WCN_SS_Mean_Score",0.854901960784314,"WCN_SS_Mean_Score"
"5",5,"WCN_SS_Mean_Score",0.876497695852535,"WCN_SS_Mean_Score"
"6",6,"WCN_SS_Mean_Score",0.892156862745098,"WCN_SS_Mean_Score"
"7",7,"WCN_SS_Mean_Score",0.926470588235294,"WCN_SS_Mean_Score"
"8",8,"WCN_SS_Mean_Score",0.870967741935484,"WCN_SS_Mean_Score"
"9",9,"WCN_SS_Mean_Score",0.87156862745098,"WCN_SS_Mean_Score"
"10",10,"WCN_SS_Mean_Score",0.87741935483871,"WCN_SS_Mean_Score"
