"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"WCN_SS_Mean_Score",0.898095238095238,"WCN_SS_Mean_Score"
"2",2,"WCN_SS_Mean_Score",0.858823529411765,"WCN_SS_Mean_Score"
"3",3,"WCN_SS_Mean_Score",0.900379506641366,"WCN_SS_Mean_Score"
"4",4,"WCN_SS_Mean_Score",0.903921568627451,"WCN_SS_Mean_Score"
"5",5,"WCN_SS_Mean_Score",0.892789373814042,"WCN_SS_Mean_Score"
"6",6,"WCN_SS_Mean_Score",0.865437788018433,"WCN_SS_Mean_Score"
"7",7,"WCN_SS_Mean_Score",0.86527514231499,"WCN_SS_Mean_Score"
"8",8,"WCN_SS_Mean_Score",0.880455407969639,"WCN_SS_Mean_Score"
"9",9,"WCN_SS_Mean_Score",0.860531309297913,"WCN_SS_Mean_Score"
"10",10,"WCN_SS_Mean_Score",0.88921568627451,"WCN_SS_Mean_Score"
