"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"RSA_Mean_Score",0.825426944971537,"RSA_Mean_Score"
"2",2,"RSA_Mean_Score",0.858986175115207,"RSA_Mean_Score"
"3",3,"RSA_Mean_Score",0.844402277039848,"RSA_Mean_Score"
"4",4,"RSA_Mean_Score",0.845351043643264,"RSA_Mean_Score"
"5",5,"RSA_Mean_Score",0.832352941176471,"RSA_Mean_Score"
"6",6,"RSA_Mean_Score",0.867619047619048,"RSA_Mean_Score"
"7",7,"RSA_Mean_Score",0.81404174573055,"RSA_Mean_Score"
"8",8,"RSA_Mean_Score",0.819607843137255,"RSA_Mean_Score"
"9",9,"RSA_Mean_Score",0.819607843137255,"RSA_Mean_Score"
"10",10,"RSA_Mean_Score",0.815939278937381,"RSA_Mean_Score"
