"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"SS_Mean_Score",0.827324478178368,"SS_Mean_Score"
"2",2,"SS_Mean_Score",0.848847926267281,"SS_Mean_Score"
"3",3,"SS_Mean_Score",0.825426944971537,"SS_Mean_Score"
"4",4,"SS_Mean_Score",0.850980392156863,"SS_Mean_Score"
"5",5,"SS_Mean_Score",0.84331797235023,"SS_Mean_Score"
"6",6,"SS_Mean_Score",0.838709677419355,"SS_Mean_Score"
"7",7,"SS_Mean_Score",0.864705882352941,"SS_Mean_Score"
"8",8,"SS_Mean_Score",0.82258064516129,"SS_Mean_Score"
"9",9,"SS_Mean_Score",0.840196078431373,"SS_Mean_Score"
"10",10,"SS_Mean_Score",0.850980392156863,"SS_Mean_Score"
