"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"SS_Mean_Score",0.832068311195446,"SS_Mean_Score"
"2",2,"SS_Mean_Score",0.835294117647059,"SS_Mean_Score"
"3",3,"SS_Mean_Score",0.865686274509804,"SS_Mean_Score"
"4",4,"SS_Mean_Score",0.822857142857143,"SS_Mean_Score"
"5",5,"SS_Mean_Score",0.862428842504744,"SS_Mean_Score"
"6",6,"SS_Mean_Score",0.818785578747628,"SS_Mean_Score"
"7",7,"SS_Mean_Score",0.867281105990783,"SS_Mean_Score"
"8",8,"SS_Mean_Score",0.827324478178368,"SS_Mean_Score"
"9",9,"SS_Mean_Score",0.854901960784314,"SS_Mean_Score"
"10",10,"SS_Mean_Score",0.851043643263757,"SS_Mean_Score"
