"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"RSA_WCN_Mean_Score",0.922201138519924,"RSA_WCN_Mean_Score"
"2",2,"RSA_WCN_Mean_Score",0.932637571157495,"RSA_WCN_Mean_Score"
"3",3,"RSA_WCN_Mean_Score",0.91889400921659,"RSA_WCN_Mean_Score"
"4",4,"RSA_WCN_Mean_Score",0.92156862745098,"RSA_WCN_Mean_Score"
"5",5,"RSA_WCN_Mean_Score",0.950980392156863,"RSA_WCN_Mean_Score"
"6",6,"RSA_WCN_Mean_Score",0.925345622119816,"RSA_WCN_Mean_Score"
"7",7,"RSA_WCN_Mean_Score",0.918627450980392,"RSA_WCN_Mean_Score"
"8",8,"RSA_WCN_Mean_Score",0.94876660341556,"RSA_WCN_Mean_Score"
"9",9,"RSA_WCN_Mean_Score",0.920303605313093,"RSA_WCN_Mean_Score"
"10",10,"RSA_WCN_Mean_Score",0.919607843137255,"RSA_WCN_Mean_Score"
