"","num_dataset","AUC","Model_Type"
"1",1,0.936274509803922,"RSA_WCN_SS_Mean_Score"
"2",2,0.944971537001898,"RSA_WCN_SS_Mean_Score"
"3",3,0.948387096774194,"RSA_WCN_SS_Mean_Score"
"4",4,0.937327188940092,"RSA_WCN_SS_Mean_Score"
"5",5,0.942125237191651,"RSA_WCN_SS_Mean_Score"
"6",6,0.947058823529412,"RSA_WCN_SS_Mean_Score"
"7",7,0.951612903225806,"RSA_WCN_SS_Mean_Score"
"8",8,0.944022770398482,"RSA_WCN_SS_Mean_Score"
"9",9,0.948039215686274,"RSA_WCN_SS_Mean_Score"
"10",10,0.944117647058824,"RSA_WCN_SS_Mean_Score"
