"","num_dataset","AUC","Model_Type"
"1",1,0.950664136622391,"RSA_WCN_SS_Mean_Score"
"2",2,0.946666666666667,"RSA_WCN_SS_Mean_Score"
"3",3,0.944022770398482,"RSA_WCN_SS_Mean_Score"
"4",4,0.94876660341556,"RSA_WCN_SS_Mean_Score"
"5",5,0.936274509803922,"RSA_WCN_SS_Mean_Score"
"6",6,0.931428571428571,"RSA_WCN_SS_Mean_Score"
"7",7,0.937381404174573,"RSA_WCN_SS_Mean_Score"
"8",8,0.952561669829222,"RSA_WCN_SS_Mean_Score"
"9",9,0.925047438330171,"RSA_WCN_SS_Mean_Score"
"10",10,0.955882352941177,"RSA_WCN_SS_Mean_Score"
