"","num_dataset","AUC","Model_Type"
"1",1,0.941176470588235,"RSA_WCN_SS_Mean_Score"
"2",2,0.943074003795066,"RSA_WCN_SS_Mean_Score"
"3",3,0.94876660341556,"RSA_WCN_SS_Mean_Score"
"4",4,0.938095238095238,"RSA_WCN_SS_Mean_Score"
"5",5,0.944117647058824,"RSA_WCN_SS_Mean_Score"
"6",6,0.924509803921569,"RSA_WCN_SS_Mean_Score"
"7",7,0.95668202764977,"RSA_WCN_SS_Mean_Score"
"8",8,0.941176470588235,"RSA_WCN_SS_Mean_Score"
"9",9,0.930740037950664,"RSA_WCN_SS_Mean_Score"
"10",10,0.957843137254902,"RSA_WCN_SS_Mean_Score"
