"","num_dataset","AUC","Model_Type"
"1",1,0.928842504743833,"RSA_WCN_SS_Mean_Score"
"2",2,0.947817836812144,"RSA_WCN_SS_Mean_Score"
"3",3,0.937381404174573,"RSA_WCN_SS_Mean_Score"
"4",4,0.940196078431373,"RSA_WCN_SS_Mean_Score"
"5",5,0.951428571428571,"RSA_WCN_SS_Mean_Score"
"6",6,0.937381404174573,"RSA_WCN_SS_Mean_Score"
"7",7,0.94022770398482,"RSA_WCN_SS_Mean_Score"
"8",8,0.945098039215686,"RSA_WCN_SS_Mean_Score"
"9",9,0.92843137254902,"RSA_WCN_SS_Mean_Score"
"10",10,0.952995391705069,"RSA_WCN_SS_Mean_Score"
