"","num_dataset","AUC","Model_Type"
"1",1,0.947058823529412,"RSA_WCN_SS_Mean_Score"
"2",2,0.947619047619048,"RSA_WCN_SS_Mean_Score"
"3",3,0.949715370018975,"RSA_WCN_SS_Mean_Score"
"4",4,0.938235294117647,"RSA_WCN_SS_Mean_Score"
"5",5,0.933586337760911,"RSA_WCN_SS_Mean_Score"
"6",6,0.936274509803922,"RSA_WCN_SS_Mean_Score"
"7",7,0.94876660341556,"RSA_WCN_SS_Mean_Score"
"8",8,0.939278937381404,"RSA_WCN_SS_Mean_Score"
"9",9,0.950230414746544,"RSA_WCN_SS_Mean_Score"
"10",10,0.926944971537002,"RSA_WCN_SS_Mean_Score"
