"","num_dataset","AUC","Model_Type"
"1",1,0.932637571157495,"RSA_WCN_SS_Mean_Score"
"2",2,0.930740037950664,"RSA_WCN_SS_Mean_Score"
"3",3,0.955882352941177,"RSA_WCN_SS_Mean_Score"
"4",4,0.953333333333333,"RSA_WCN_SS_Mean_Score"
"5",5,0.961100569259962,"RSA_WCN_SS_Mean_Score"
"6",6,0.948039215686274,"RSA_WCN_SS_Mean_Score"
"7",7,0.937381404174573,"RSA_WCN_SS_Mean_Score"
"8",8,0.937254901960784,"RSA_WCN_SS_Mean_Score"
"9",9,0.934562211981567,"RSA_WCN_SS_Mean_Score"
"10",10,0.93168880455408,"RSA_WCN_SS_Mean_Score"
