"","num_dataset","AUC","Model_Type"
"1",1,0.939047619047619,"RSA_WCN_SS_Mean_Score"
"2",2,0.95,"RSA_WCN_SS_Mean_Score"
"3",3,0.9573055028463,"RSA_WCN_SS_Mean_Score"
"4",4,0.937142857142857,"RSA_WCN_SS_Mean_Score"
"5",5,0.926944971537002,"RSA_WCN_SS_Mean_Score"
"6",6,0.94876660341556,"RSA_WCN_SS_Mean_Score"
"7",7,0.945920303605313,"RSA_WCN_SS_Mean_Score"
"8",8,0.937254901960784,"RSA_WCN_SS_Mean_Score"
"9",9,0.938330170777989,"RSA_WCN_SS_Mean_Score"
"10",10,0.951612903225806,"RSA_WCN_SS_Mean_Score"
