"","num_dataset","AUC","Model_Type"
"1",1,0.937381404174573,"RSA_WCN_SS_Mean_Score"
"2",2,0.935294117647059,"RSA_WCN_SS_Mean_Score"
"3",3,0.933586337760911,"RSA_WCN_SS_Mean_Score"
"4",4,0.952561669829222,"RSA_WCN_SS_Mean_Score"
"5",5,0.955238095238095,"RSA_WCN_SS_Mean_Score"
"6",6,0.930392156862745,"RSA_WCN_SS_Mean_Score"
"7",7,0.96078431372549,"RSA_WCN_SS_Mean_Score"
"8",8,0.92314990512334,"RSA_WCN_SS_Mean_Score"
"9",9,0.966793168880455,"RSA_WCN_SS_Mean_Score"
"10",10,0.934562211981567,"RSA_WCN_SS_Mean_Score"
