"","num_dataset","AUC","Model_Type"
"1",1,0.731499051233397,"RSA"
"2",2,0.796015180265655,"RSA"
"3",3,0.748576850094877,"RSA"
"4",4,0.755238095238095,"RSA"
"5",5,0.741935483870968,"RSA"
"6",6,0.748576850094877,"RSA"
"7",7,0.767647058823529,"RSA"
"8",8,0.723529411764706,"RSA"
"9",9,0.744781783681214,"RSA"
"10",10,0.746078431372549,"RSA"
