"","num_dataset","AUC","Model_Type"
"1",1,0.947058823529412,"RSA_WCN_SS_Mean_Score"
"2",2,0.945920303605313,"RSA_WCN_SS_Mean_Score"
"3",3,0.934535104364326,"RSA_WCN_SS_Mean_Score"
"4",4,0.947817836812144,"RSA_WCN_SS_Mean_Score"
"5",5,0.96078431372549,"RSA_WCN_SS_Mean_Score"
"6",6,0.962857142857143,"RSA_WCN_SS_Mean_Score"
"7",7,0.94022770398482,"RSA_WCN_SS_Mean_Score"
"8",8,0.943074003795066,"RSA_WCN_SS_Mean_Score"
"9",9,0.931797235023041,"RSA_WCN_SS_Mean_Score"
"10",10,0.937254901960784,"RSA_WCN_SS_Mean_Score"
