"","num_dataset","AUC","Model_Type"
"1",1,0.943074003795066,"RSA_WCN_SS_Mean_Score"
"2",2,0.928842504743833,"RSA_WCN_SS_Mean_Score"
"3",3,0.939170506912442,"RSA_WCN_SS_Mean_Score"
"4",4,0.941176470588235,"RSA_WCN_SS_Mean_Score"
"5",5,0.951960784313725,"RSA_WCN_SS_Mean_Score"
"6",6,0.935294117647059,"RSA_WCN_SS_Mean_Score"
"7",7,0.942125237191651,"RSA_WCN_SS_Mean_Score"
"8",8,0.944971537001898,"RSA_WCN_SS_Mean_Score"
"9",9,0.959803921568627,"RSA_WCN_SS_Mean_Score"
"10",10,0.952073732718894,"RSA_WCN_SS_Mean_Score"
