"","num_dataset","AUC","Model_Type"
"1",1,0.937254901960784,"RSA_WCN_SS_Mean_Score"
"2",2,0.956862745098039,"RSA_WCN_SS_Mean_Score"
"3",3,0.96036866359447,"RSA_WCN_SS_Mean_Score"
"4",4,0.946869070208729,"RSA_WCN_SS_Mean_Score"
"5",5,0.943137254901961,"RSA_WCN_SS_Mean_Score"
"6",6,0.937381404174573,"RSA_WCN_SS_Mean_Score"
"7",7,0.923529411764706,"RSA_WCN_SS_Mean_Score"
"8",8,0.932637571157495,"RSA_WCN_SS_Mean_Score"
"9",9,0.949308755760369,"RSA_WCN_SS_Mean_Score"
"10",10,0.941176470588235,"RSA_WCN_SS_Mean_Score"
