"","num_dataset","AUC","Model_Type"
"1",1,0.938235294117647,"RSA_WCN_SS_Mean_Score"
"2",2,0.935483870967742,"RSA_WCN_SS_Mean_Score"
"3",3,0.943074003795066,"RSA_WCN_SS_Mean_Score"
"4",4,0.961764705882353,"RSA_WCN_SS_Mean_Score"
"5",5,0.939278937381404,"RSA_WCN_SS_Mean_Score"
"6",6,0.942857142857143,"RSA_WCN_SS_Mean_Score"
"7",7,0.950980392156863,"RSA_WCN_SS_Mean_Score"
"8",8,0.952561669829222,"RSA_WCN_SS_Mean_Score"
"9",9,0.949308755760369,"RSA_WCN_SS_Mean_Score"
"10",10,0.923529411764706,"RSA_WCN_SS_Mean_Score"
