"","num_dataset","AUC","Model_Type"
"1",1,0.952561669829222,"RSA_WCN_SS_Mean_Score"
"2",2,0.952561669829222,"RSA_WCN_SS_Mean_Score"
"3",3,0.935483870967742,"RSA_WCN_SS_Mean_Score"
"4",4,0.938235294117647,"RSA_WCN_SS_Mean_Score"
"5",5,0.957843137254902,"RSA_WCN_SS_Mean_Score"
"6",6,0.933586337760911,"RSA_WCN_SS_Mean_Score"
"7",7,0.944117647058824,"RSA_WCN_SS_Mean_Score"
"8",8,0.927450980392157,"RSA_WCN_SS_Mean_Score"
"9",9,0.931797235023041,"RSA_WCN_SS_Mean_Score"
"10",10,0.945622119815668,"RSA_WCN_SS_Mean_Score"
