"","num_dataset","AUC","Model_Type"
"1",1,0.953921568627451,"RSA_WCN_SS_Mean_Score"
"2",2,0.936432637571157,"RSA_WCN_SS_Mean_Score"
"3",3,0.938330170777989,"RSA_WCN_SS_Mean_Score"
"4",4,0.935294117647059,"RSA_WCN_SS_Mean_Score"
"5",5,0.959203036053131,"RSA_WCN_SS_Mean_Score"
"6",6,0.924098671726755,"RSA_WCN_SS_Mean_Score"
"7",7,0.946666666666667,"RSA_WCN_SS_Mean_Score"
"8",8,0.930740037950664,"RSA_WCN_SS_Mean_Score"
"9",9,0.943809523809524,"RSA_WCN_SS_Mean_Score"
"10",10,0.964895635673624,"RSA_WCN_SS_Mean_Score"
