"","num_dataset","AUC","Model_Type"
"1",1,0.942125237191651,"RSA_WCN_SS_Mean_Score"
"2",2,0.938330170777989,"RSA_WCN_SS_Mean_Score"
"3",3,0.938330170777989,"RSA_WCN_SS_Mean_Score"
"4",4,0.956862745098039,"RSA_WCN_SS_Mean_Score"
"5",5,0.943074003795066,"RSA_WCN_SS_Mean_Score"
"6",6,0.936432637571157,"RSA_WCN_SS_Mean_Score"
"7",7,0.962745098039216,"RSA_WCN_SS_Mean_Score"
"8",8,0.937327188940092,"RSA_WCN_SS_Mean_Score"
"9",9,0.936190476190476,"RSA_WCN_SS_Mean_Score"
"10",10,0.95,"RSA_WCN_SS_Mean_Score"
