"","num_dataset","AUC","Model_Type"
"1",1,0.945920303605313,"RSA_WCN_SS_Mean_Score"
"2",2,0.938095238095238,"RSA_WCN_SS_Mean_Score"
"3",3,0.950664136622391,"RSA_WCN_SS_Mean_Score"
"4",4,0.946869070208729,"RSA_WCN_SS_Mean_Score"
"5",5,0.947817836812144,"RSA_WCN_SS_Mean_Score"
"6",6,0.935483870967742,"RSA_WCN_SS_Mean_Score"
"7",7,0.947058823529412,"RSA_WCN_SS_Mean_Score"
"8",8,0.932718894009217,"RSA_WCN_SS_Mean_Score"
"9",9,0.92843137254902,"RSA_WCN_SS_Mean_Score"
"10",10,0.949019607843137,"RSA_WCN_SS_Mean_Score"
