"","num_dataset","AUC","Model_Type"
"1",1,0.935483870967742,"RSA_WCN_SS_Mean_Score"
"2",2,0.939278937381404,"RSA_WCN_SS_Mean_Score"
"3",3,0.951960784313726,"RSA_WCN_SS_Mean_Score"
"4",4,0.953921568627451,"RSA_WCN_SS_Mean_Score"
"5",5,0.942125237191651,"RSA_WCN_SS_Mean_Score"
"6",6,0.945920303605313,"RSA_WCN_SS_Mean_Score"
"7",7,0.935238095238095,"RSA_WCN_SS_Mean_Score"
"8",8,0.942857142857143,"RSA_WCN_SS_Mean_Score"
"9",9,0.934535104364326,"RSA_WCN_SS_Mean_Score"
"10",10,0.947817836812144,"RSA_WCN_SS_Mean_Score"
