"","num_dataset","AUC","Model_Type"
"1",1,0.937381404174573,"RSA_WCN_SS_Mean_Score"
"2",2,0.933333333333333,"RSA_WCN_SS_Mean_Score"
"3",3,0.941935483870968,"RSA_WCN_SS_Mean_Score"
"4",4,0.945714285714286,"RSA_WCN_SS_Mean_Score"
"5",5,0.946078431372549,"RSA_WCN_SS_Mean_Score"
"6",6,0.933333333333333,"RSA_WCN_SS_Mean_Score"
"7",7,0.938330170777989,"RSA_WCN_SS_Mean_Score"
"8",8,0.944022770398482,"RSA_WCN_SS_Mean_Score"
"9",9,0.942125237191651,"RSA_WCN_SS_Mean_Score"
"10",10,0.944971537001898,"RSA_WCN_SS_Mean_Score"
