"","num_dataset","AUC","Model_Type"
"1",1,0.943137254901961,"RSA_WCN_SS_Mean_Score"
"2",2,0.947817836812144,"RSA_WCN_SS_Mean_Score"
"3",3,0.935294117647059,"RSA_WCN_SS_Mean_Score"
"4",4,0.946869070208729,"RSA_WCN_SS_Mean_Score"
"5",5,0.940952380952381,"RSA_WCN_SS_Mean_Score"
"6",6,0.934535104364326,"RSA_WCN_SS_Mean_Score"
"7",7,0.929791271347249,"RSA_WCN_SS_Mean_Score"
"8",8,0.96584440227704,"RSA_WCN_SS_Mean_Score"
"9",9,0.937327188940092,"RSA_WCN_SS_Mean_Score"
"10",10,0.933333333333333,"RSA_WCN_SS_Mean_Score"
