"","num_dataset","AUC","Model_Type"
"1",1,0.951612903225806,"RSA_WCN_SS_Mean_Score"
"2",2,0.944761904761905,"RSA_WCN_SS_Mean_Score"
"3",3,0.94876660341556,"RSA_WCN_SS_Mean_Score"
"4",4,0.950230414746544,"RSA_WCN_SS_Mean_Score"
"5",5,0.93921568627451,"RSA_WCN_SS_Mean_Score"
"6",6,0.944971537001898,"RSA_WCN_SS_Mean_Score"
"7",7,0.944971537001898,"RSA_WCN_SS_Mean_Score"
"8",8,0.933333333333333,"RSA_WCN_SS_Mean_Score"
"9",9,0.942156862745098,"RSA_WCN_SS_Mean_Score"
"10",10,0.930740037950664,"RSA_WCN_SS_Mean_Score"
