"","num_dataset","AUC","Model_Type"
"1",1,0.938330170777989,"RSA_WCN_SS_Mean_Score"
"2",2,0.932352941176471,"RSA_WCN_SS_Mean_Score"
"3",3,0.941176470588235,"RSA_WCN_SS_Mean_Score"
"4",4,0.943778801843318,"RSA_WCN_SS_Mean_Score"
"5",5,0.956356736242884,"RSA_WCN_SS_Mean_Score"
"6",6,0.944971537001898,"RSA_WCN_SS_Mean_Score"
"7",7,0.953921568627451,"RSA_WCN_SS_Mean_Score"
"8",8,0.936190476190476,"RSA_WCN_SS_Mean_Score"
"9",9,0.949715370018975,"RSA_WCN_SS_Mean_Score"
"10",10,0.942125237191651,"RSA_WCN_SS_Mean_Score"
