"","num_dataset","AUC","Model_Type"
"1",1,0.954901960784314,"RSA_WCN_SS_Mean_Score"
"2",2,0.94,"RSA_WCN_SS_Mean_Score"
"3",3,0.968627450980392,"RSA_WCN_SS_Mean_Score"
"4",4,0.932637571157495,"RSA_WCN_SS_Mean_Score"
"5",5,0.935483870967742,"RSA_WCN_SS_Mean_Score"
"6",6,0.943074003795066,"RSA_WCN_SS_Mean_Score"
"7",7,0.942125237191651,"RSA_WCN_SS_Mean_Score"
"8",8,0.942857142857143,"RSA_WCN_SS_Mean_Score"
"9",9,0.925047438330171,"RSA_WCN_SS_Mean_Score"
"10",10,0.948039215686274,"RSA_WCN_SS_Mean_Score"
