"","num_dataset","AUC","Model_Type"
"1",1,0.951152073732719,"RSA_WCN_SS_Mean_Score"
"2",2,0.926944971537002,"RSA_WCN_SS_Mean_Score"
"3",3,0.959203036053131,"RSA_WCN_SS_Mean_Score"
"4",4,0.935294117647059,"RSA_WCN_SS_Mean_Score"
"5",5,0.935294117647059,"RSA_WCN_SS_Mean_Score"
"6",6,0.92314990512334,"RSA_WCN_SS_Mean_Score"
"7",7,0.938235294117647,"RSA_WCN_SS_Mean_Score"
"8",8,0.950980392156863,"RSA_WCN_SS_Mean_Score"
"9",9,0.96221198156682,"RSA_WCN_SS_Mean_Score"
"10",10,0.939278937381404,"RSA_WCN_SS_Mean_Score"
