"","num_dataset","AUC","Model_Type"
"1",1,0.931372549019608,"RSA_WCN_SS_Mean_Score"
"2",2,0.95,"RSA_WCN_SS_Mean_Score"
"3",3,0.943074003795066,"RSA_WCN_SS_Mean_Score"
"4",4,0.926470588235294,"RSA_WCN_SS_Mean_Score"
"5",5,0.938330170777989,"RSA_WCN_SS_Mean_Score"
"6",6,0.947465437788018,"RSA_WCN_SS_Mean_Score"
"7",7,0.963725490196078,"RSA_WCN_SS_Mean_Score"
"8",8,0.937327188940092,"RSA_WCN_SS_Mean_Score"
"9",9,0.949715370018975,"RSA_WCN_SS_Mean_Score"
"10",10,0.945920303605313,"RSA_WCN_SS_Mean_Score"
