"","num_dataset","AUC","Model_Type"
"1",1,0.941176470588235,"RSA_WCN_SS_Mean_Score"
"2",2,0.946543778801843,"RSA_WCN_SS_Mean_Score"
"3",3,0.940196078431373,"RSA_WCN_SS_Mean_Score"
"4",4,0.961100569259962,"RSA_WCN_SS_Mean_Score"
"5",5,0.95,"RSA_WCN_SS_Mean_Score"
"6",6,0.936274509803922,"RSA_WCN_SS_Mean_Score"
"7",7,0.938248847926267,"RSA_WCN_SS_Mean_Score"
"8",8,0.927893738140417,"RSA_WCN_SS_Mean_Score"
"9",9,0.934535104364326,"RSA_WCN_SS_Mean_Score"
"10",10,0.950664136622391,"RSA_WCN_SS_Mean_Score"
