"","num_dataset","AUC","Model_Type"
"1",1,0.930875576036866,"RSA_WCN_SS_Mean_Score"
"2",2,0.94022770398482,"RSA_WCN_SS_Mean_Score"
"3",3,0.947817836812144,"RSA_WCN_SS_Mean_Score"
"4",4,0.942156862745098,"RSA_WCN_SS_Mean_Score"
"5",5,0.936274509803922,"RSA_WCN_SS_Mean_Score"
"6",6,0.951960784313725,"RSA_WCN_SS_Mean_Score"
"7",7,0.947058823529412,"RSA_WCN_SS_Mean_Score"
"8",8,0.950664136622391,"RSA_WCN_SS_Mean_Score"
"9",9,0.94876660341556,"RSA_WCN_SS_Mean_Score"
"10",10,0.941935483870968,"RSA_WCN_SS_Mean_Score"
