"","num_dataset","AUC","Model_Type"
"1",1,0.944971537001898,"RSA_WCN_SS_Mean_Score"
"2",2,0.936274509803922,"RSA_WCN_SS_Mean_Score"
"3",3,0.937381404174573,"RSA_WCN_SS_Mean_Score"
"4",4,0.953510436432638,"RSA_WCN_SS_Mean_Score"
"5",5,0.930392156862745,"RSA_WCN_SS_Mean_Score"
"6",6,0.952941176470588,"RSA_WCN_SS_Mean_Score"
"7",7,0.951612903225806,"RSA_WCN_SS_Mean_Score"
"8",8,0.952995391705069,"RSA_WCN_SS_Mean_Score"
"9",9,0.929411764705882,"RSA_WCN_SS_Mean_Score"
"10",10,0.941935483870968,"RSA_WCN_SS_Mean_Score"
