"","num_dataset","AUC","Model_Type"
"1",1,0.94022770398482,"RSA_WCN_SS_Mean_Score"
"2",2,0.942857142857143,"RSA_WCN_SS_Mean_Score"
"3",3,0.951612903225806,"RSA_WCN_SS_Mean_Score"
"4",4,0.941935483870968,"RSA_WCN_SS_Mean_Score"
"5",5,0.939278937381404,"RSA_WCN_SS_Mean_Score"
"6",6,0.936274509803922,"RSA_WCN_SS_Mean_Score"
"7",7,0.943074003795066,"RSA_WCN_SS_Mean_Score"
"8",8,0.942156862745098,"RSA_WCN_SS_Mean_Score"
"9",9,0.94022770398482,"RSA_WCN_SS_Mean_Score"
"10",10,0.931372549019608,"RSA_WCN_SS_Mean_Score"
