"","num_dataset","AUC","Model_Type"
"1",1,0.929791271347249,"RSA_WCN_SS_Mean_Score"
"2",2,0.932352941176471,"RSA_WCN_SS_Mean_Score"
"3",3,0.949715370018975,"RSA_WCN_SS_Mean_Score"
"4",4,0.936190476190476,"RSA_WCN_SS_Mean_Score"
"5",5,0.94022770398482,"RSA_WCN_SS_Mean_Score"
"6",6,0.944117647058824,"RSA_WCN_SS_Mean_Score"
"7",7,0.93168880455408,"RSA_WCN_SS_Mean_Score"
"8",8,0.953333333333333,"RSA_WCN_SS_Mean_Score"
"9",9,0.967741935483871,"RSA_WCN_SS_Mean_Score"
"10",10,0.952561669829222,"RSA_WCN_SS_Mean_Score"
